"Date","Asset","Return"
2013-01-09,"BankInvest Korte Danske Obligationer W",0.000986734
2013-01-09,"BankInvest Korte Danske Obligationer A",0.000986734
2013-01-09,"BGF Swiss Small & MidCap Opps D2",0.0467545
2013-01-09,"BGF World Gold A2 HKD Hedged",-0.0393381
2013-01-09,"BGF World Gold A2",-0.0391877
2013-01-09,"BGF World Gold X2",-0.0389866
2013-01-09,"BGF World Gold D4",-0.0382069
2013-01-09,"BGF World Gold I2",-0.0390633
2013-01-09,"BGF World Gold D2 SGD Hedged",-0.0455142
2013-01-09,"BGF Swiss Small & MidCap Opps A2",0.0465782
2013-01-09,"BGF World Gold D2",-0.0390087
2013-01-09,"BGF World Gold A4",-0.0391877
2013-01-09,"BSF European Unconstrained Eq I2 PF EUR",0.018726
2013-01-09,"Danske Invest Alm Bol ML Obl Kl DKK W d",9.72479e-05
2013-01-09,"Danske Invest Danm In x OMXC20 DKK Wd",0.0288954
2013-01-09,"Danske Inv Euro IG CB Rst DKK Wd",0.0028453
2013-01-09,"Danske Invest Euro IG Obl KL DKK Wdh",0.00473852
2013-01-09,"Danske Invest US High Yield Bonds KL",0.00473852
2013-01-09,"Danske Invest Kommuner 4 KL",0.000763068
2013-01-09,"Danske Invest Danm In ex OMXC20 DKK d",0.0288954
2013-01-09,"Danske Inv EuroIG CorpBds Re KL DKKd",0.0028453
2013-01-09,"Danske Invest Gl VO KL DKK W d h",0.00548775
2013-01-09,"Danske Invest Euro IG Corp Bd I",0.00393161
2013-01-09,"Wealth Invest HP Engros Korte Danske Obl",-0.00195072
2013-01-09,"Gudme Raaschou European High Yield",0.0134249
2013-01-09,"Jyske Invest Højt Ratede Vrk.obl KL",-0.00208825
2013-01-09,"Maj Invest Danske Obligationer",0.00150291
2013-01-09,"Maj Invest Vækstaktier",0.00556677
2013-01-09,"Nordea Invest Engros Corporate Bonds",0.00323163
2013-01-09,"Nordea Invest Danske Aktier Fokus KL 1",0.0245115
2013-01-09,"Nordea Invest Euro High Yield Bnd KL 1",0.0134987
2013-01-09,"Nordea Invest Korte Obl Lagerbe KL 1",0.00113262
2013-01-09,"Nykredit Alpha Mira",0.000637859
2013-01-09,"Nykredit Invest Engros DK Fokusaktier KL",0.000964145
2013-01-09,"Nykredit Invest Ansvarlige Kreditobl.",8.62813e-05
2013-01-09,"Wealth Invest HP Invest Korte Danske Obl",-0.00195072
2013-01-09,"iShares Gold Producers ETF USD Acc",-0.0392078
2013-01-09,"Nordea Invest Danske Aktier Fokus KL 2",0.0245115
2013-01-09,"Nordea Invest Korte Obli Lagerbe KL 2",0.00113262
2013-01-09,"Nordea Invest Euro High Yield Bonds KL 2",0.0134987
2013-01-16,"BankInvest Korte Danske Obligationer W",-0.000328587
2013-01-16,"BankInvest Korte Danske Obligationer A",-0.000328587
2013-01-16,"BGF Swiss Small & MidCap Opps D2",-0.00803855
2013-01-16,"BGF World Gold A2 HKD Hedged",-0.0072511
2013-01-16,"BGF World Gold A2",-0.00709493
2013-01-16,"BGF World Gold X2",-0.00653893
2013-01-16,"BGF World Gold D4",-0.00499869
2013-01-16,"BGF World Gold I2",-0.00687546
2013-01-16,"BGF World Gold D2 SGD Hedged",-0.00406343
2013-01-16,"BGF Swiss Small & MidCap Opps A2",-0.00818057
2013-01-16,"BGF World Gold D2",-0.00694385
2013-01-16,"BGF World Gold A4",-0.00709493
2013-01-16,"BSF European Unconstrained Eq I2 PF EUR",-0.00971155
2013-01-16,"Danske Invest Alm Bol ML Obl Kl DKK W d",0.000291715
2013-01-16,"Danske Invest Danm In x OMXC20 DKK Wd",0.00699449
2013-01-16,"Danske Inv Euro IG CB Rst DKK Wd",-0.00192045
2013-01-16,"Danske Invest Euro IG Obl KL DKK Wdh",-0.00154347
2013-01-16,"Danske Invest US High Yield Bonds KL",-0.00154347
2013-01-16,"Danske Invest Kommuner 4 KL",0.000381243
2013-01-16,"Danske Invest Danm In ex OMXC20 DKK d",0.00699449
