"Date","CumReturn_min_sd","CumReturn_max_ret"
"2020-01-01",1.000466,1.000302
"2020-01-08",1.002048,1.003278
"2020-01-15",1.004184,1.011910
"2020-01-22",1.007579,1.024723
"2020-01-29",1.005420,1.016352
"2020-02-05",1.007435,1.024965
"2020-02-12",1.010932,1.035195
"2020-02-19",1.014982,1.043894
"2020-02-26",1.004734,1.005570
"2020-03-04",0.997917,0.988661
"2020-03-11",0.967091,0.917824
"2020-03-18",0.876051,0.796636
"2020-03-25",0.881938,0.815257
"2020-04-01",0.904517,0.853017
"2020-04-08",0.916285,0.874758
"2020-04-15",0.933612,0.885327
"2020-04-22",0.934065,0.897964
"2020-04-29",0.941856,0.909759
"2020-05-06",0.941976,0.909291
"2020-05-13",0.941675,0.913819
"2020-05-20",0.943136,0.923652
"2020-05-27",0.951309,0.929080
"2020-06-03",0.960357,0.950152
"2020-06-10",0.965672,0.952640
"2020-06-17",0.968863,0.957704
"2020-06-24",0.967435,0.957519
"2020-07-01",0.968172,0.965903
"2020-07-08",0.973524,0.979888
"2020-07-15",0.974943,0.988626
"2020-07-22",0.982012,0.999652
"2020-07-29",0.982620,0.992809
"2020-08-05",0.986082,0.995181
"2020-08-12",0.990360,1.009751
"2020-08-19",0.991357,1.010882
"2020-08-26",0.993858,1.022876
"2020-09-02",0.996298,1.024248
"2020-09-09",0.994388,1.011007
"2020-09-16",0.997961,1.021036
"2020-09-23",0.995500,1.020475
"2020-09-30",0.995549,1.026602
"2020-10-07",1.000428,1.036498
"2020-10-14",1.004369,1.052184
"2020-10-21",1.003329,1.042833
"2020-10-28",0.994302,1.005185
"2020-11-04",1.002001,1.042825
"2020-11-11",1.010570,1.054180
"2020-11-18",1.014030,1.060472
"2020-11-25",1.014970,1.058348
"2020-12-02",1.015450,1.059620
"2020-12-09",1.020578,1.071558
"2020-12-16",1.019378,1.071817
"2020-12-23",1.020364,1.081018
"2020-12-30",1.023813,1.093699
"2021-01-06",1.027225,1.101835
"2021-01-13",1.027737,1.110479
"2021-01-20",1.028968,1.111551
"2021-01-27",1.027696,1.097116
"2021-02-03",1.032416,1.116283
"2021-02-10",1.033602,1.119139
"2021-02-17",1.033319,1.130902
"2021-02-24",1.025592,1.102027
"2021-03-03",1.024853,1.100278
"2021-03-10",1.025922,1.108792
"2021-03-17",1.028511,1.114638
"2021-03-24",1.030618,1.126250
"2021-03-31",1.032477,1.140522
"2021-04-07",1.036769,1.149764
"2021-04-14",1.037089,1.157548
"2021-04-21",1.036068,1.152766
"2021-04-28",1.036684,1.162721
"2021-05-05",1.038520,1.165550
"2021-05-12",1.034662,1.151223
"2021-05-19",1.031165,1.149936
"2021-05-26",1.035649,1.173057
"2021-06-02",1.037441,1.181556
"2021-06-09",1.042232,1.193891
"2021-06-16",1.044310,1.205338
"2021-06-23",1.043850,1.201105
"2021-06-30",1.047332,1.212536
"2021-07-07",1.053915,1.238145
"2021-07-14",1.054304,1.243546
"2021-07-21",1.054946,1.240456
"2021-07-28",1.061000,1.255892
"2021-08-04",1.067405,1.277538
"2021-08-11",1.065544,1.275105
"2021-08-18",1.069068,1.294680
"2021-08-25",1.065788,1.286044
"2021-09-01",1.066521,1.294044
"2021-09-08",1.066659,1.291853
"2021-09-15",1.066301,1.284844
"2021-09-22",1.063862,1.284393
"2021-09-29",1.053053,1.241411
"2021-10-06",1.055792,1.245384
"2021-10-13",1.060456,1.274952
"2021-10-20",1.064692,1.297666
"2021-10-27",1.067597,1.307601
"2021-11-03",1.065190,1.314770
"2021-11-10",1.072448,1.323892
"2021-11-17",1.071593,1.335998
"2021-11-24",1.063806,1.300841
"2021-12-01",1.064455,1.307844
"2021-12-08",1.073155,1.329808
"2021-12-15",1.072634,1.318792
"2021-12-22",1.074728,1.330706
"2021-12-29",1.079101,1.357614
"2022-01-05",1.082182,1.356321
"2022-01-12",1.075027,1.318191
"2022-01-19",1.067982,1.287749
"2022-01-26",1.060362,1.257784
"2022-02-02",1.058426,1.283248
"2022-02-09",1.038151,1.235480
"2022-02-16",1.024294,1.201317
"2022-02-23",1.019976,1.184870
"2022-03-02",1.023084,1.201528
"2022-03-09",1.014310,1.180487
"2022-03-16",1.017740,1.209847
"2022-03-23",1.024755,1.229624
"2022-03-30",1.026075,1.244508
"2022-04-06",1.025408,1.233854
"2022-04-13",1.022256,1.227800
"2022-04-20",1.021930,1.235430
"2022-04-27",0.999559,1.182125
"2022-05-04",0.991287,1.172090
