"Date","CumReturn_min_dr","CumReturn_max_ret"
"2020-01-01",1.000471,1.000069
"2020-01-08",1.002312,1.008577
"2020-01-15",1.003990,1.015405
"2020-01-22",1.006999,1.034133
"2020-01-29",1.005263,1.023206
"2020-02-05",1.006805,1.031690
"2020-02-12",1.009615,1.044659
"2020-02-19",1.013480,1.055112
"2020-02-26",1.005217,1.006247
"2020-03-04",0.998843,0.983807
"2020-03-11",0.971936,0.901624
"2020-03-18",0.886256,0.781783
"2020-03-25",0.891130,0.819742
"2020-04-01",0.911476,0.850944
"2020-04-08",0.922162,0.878097
"2020-04-15",0.938694,0.887609
"2020-04-22",0.939024,0.905299
"2020-04-29",0.946006,0.919358
"2020-05-06",0.946477,0.915728
"2020-05-13",0.945968,0.923688
"2020-05-20",0.946323,0.936236
"2020-05-27",0.953712,0.936151
"2020-06-03",0.961425,0.957682
"2020-06-10",0.966732,0.958657
"2020-06-17",0.970088,0.966276
"2020-06-24",0.969156,0.965452
"2020-07-01",0.969844,0.978980
"2020-07-08",0.974400,0.994609
"2020-07-15",0.975313,1.003705
"2020-07-22",0.981945,1.016319
"2020-07-29",0.982974,1.007048
"2020-08-05",0.986432,1.008343
"2020-08-12",0.989678,1.020849
"2020-08-19",0.990591,1.023927
"2020-08-26",0.992847,1.039005
"2020-09-02",0.995399,1.038998
"2020-09-09",0.993664,1.019720
"2020-09-16",0.997069,1.034086
"2020-09-23",0.994773,1.032602
"2020-09-30",0.994237,1.039886
"2020-10-07",0.998091,1.046438
"2020-10-14",1.001198,1.064388
"2020-10-21",1.001258,1.056793
"2020-10-28",0.994157,1.008213
"2020-11-04",1.000662,1.057641
"2020-11-11",1.007709,1.066784
"2020-11-18",1.010986,1.074940
"2020-11-25",1.011764,1.067309
"2020-12-02",1.012202,1.069204
"2020-12-09",1.016769,1.082078
"2020-12-16",1.015270,1.078967
"2020-12-23",1.015816,1.089674
"2020-12-30",1.018831,1.106219
"2021-01-06",1.022180,1.115504
"2021-01-13",1.022399,1.126992
"2021-01-20",1.023135,1.124970
"2021-01-27",1.023369,1.109230
"2021-02-03",1.026972,1.132927
"2021-02-10",1.027808,1.141852
"2021-02-17",1.026399,1.149473
"2021-02-24",1.018905,1.113497
"2021-03-03",1.018489,1.109549
"2021-03-10",1.018964,1.119322
"2021-03-17",1.021090,1.125047
"2021-03-24",1.023029,1.141972
"2021-03-31",1.023935,1.157233
"2021-04-07",1.027808,1.170989
"2021-04-14",1.027370,1.184942
"2021-04-21",1.026477,1.178976
"2021-04-28",1.025754,1.181731
"2021-05-05",1.027411,1.187583
"2021-05-12",1.023699,1.167093
"2021-05-19",1.019620,1.165820
"2021-05-26",1.024237,1.202841
"2021-06-02",1.025742,1.217669
"2021-06-09",1.030200,1.235566
"2021-06-16",1.032353,1.248843
"2021-06-23",1.032564,1.241965
"2021-06-30",1.035457,1.253382
"2021-07-07",1.041148,1.285854
"2021-07-14",1.041562,1.295418
"2021-07-21",1.043053,1.295656
"2021-07-28",1.048675,1.310951
"2021-08-04",1.054838,1.341401
"2021-08-11",1.052359,1.334005
"2021-08-18",1.056140,1.359688
"2021-08-25",1.053018,1.349986
"2021-09-01",1.053436,1.362046
"2021-09-08",1.053351,1.355007
"2021-09-15",1.054432,1.349141
"2021-09-22",1.051460,1.349964
"2021-09-29",1.041158,1.290224
"2021-10-06",1.044388,1.296589
"2021-10-13",1.048197,1.336695
"2021-10-20",1.051277,1.365781
"2021-10-27",1.054344,1.378697
"2021-11-03",1.051688,1.396966
"2021-11-10",1.058771,1.407407
"2021-11-17",1.057582,1.425927
"2021-11-24",1.051288,1.381275
"2021-12-01",1.052383,1.392598
"2021-12-08",1.060951,1.420767
