"Date","Return_min_sd","Return_max_ret"
"2020-01-01",1.000783,0.999487
"2020-01-08",1.003033,1.009195
"2020-01-15",1.004679,1.015703
"2020-01-22",1.007806,1.033292
"2020-01-29",1.005874,1.021661
"2020-02-05",1.007810,1.029534
"2020-02-12",1.010545,1.039860
"2020-02-19",1.015178,1.049275
"2020-02-26",1.006838,1.005268
"2020-03-04",1.000510,0.983294
"2020-03-11",0.974216,0.910636
"2020-03-18",0.883991,0.792272
"2020-03-25",0.895401,0.822794
"2020-04-01",0.916226,0.854978
"2020-04-08",0.927540,0.878793
"2020-04-15",0.941182,0.886223
"2020-04-22",0.943640,0.901727
"2020-04-29",0.948897,0.911497
"2020-05-06",0.949235,0.910243
"2020-05-13",0.949665,0.916210
"2020-05-20",0.949587,0.924032
"2020-05-27",0.955019,0.923988
"2020-06-03",0.962342,0.943441
"2020-06-10",0.965675,0.945003
"2020-06-17",0.969765,0.953727
"2020-06-24",0.969386,0.952985
"2020-07-01",0.970742,0.966970
"2020-07-08",0.975096,0.979861
"2020-07-15",0.975397,0.987437
"2020-07-22",0.981665,0.997521
"2020-07-29",0.983292,0.989081
"2020-08-05",0.987262,0.989854
"2020-08-12",0.989539,1.001735
"2020-08-19",0.990378,1.003619
"2020-08-26",0.992433,1.018804
"2020-09-02",0.994632,1.019893
"2020-09-09",0.993380,1.000520
"2020-09-16",0.997248,1.014580
"2020-09-23",0.994118,1.015930
"2020-09-30",0.993608,1.021521
"2020-10-07",0.996944,1.025340
"2020-10-14",0.999814,1.038650
"2020-10-21",1.000047,1.036222
"2020-10-28",0.991779,0.993715
"2020-11-04",0.998896,1.037350
"2020-11-11",1.005003,1.043532
"2020-11-18",1.008136,1.052227
"2020-11-25",1.007821,1.043815
"2020-12-02",1.008381,1.044597
"2020-12-09",1.013006,1.056621
"2020-12-16",1.011522,1.051719
"2020-12-23",1.012581,1.060268
"2020-12-30",1.015802,1.075295
"2021-01-06",1.019447,1.083570
"2021-01-13",1.019118,1.095322
"2021-01-20",1.019814,1.092165
"2021-01-27",1.019597,1.084781
"2021-02-03",1.024083,1.105587
"2021-02-10",1.024542,1.115826
"2021-02-17",1.022731,1.119078
"2021-02-24",1.014975,1.085046
"2021-03-03",1.013560,1.082065
"2021-03-10",1.014153,1.090271
"2021-03-17",1.016602,1.096034
"2021-03-24",1.018815,1.112030
"2021-03-31",1.019580,1.123632
"2021-04-07",1.023326,1.136259
"2021-04-14",1.023490,1.149827
"2021-04-21",1.022679,1.141896
"2021-04-28",1.021341,1.139579
"2021-05-05",1.023363,1.145474
"2021-05-12",1.020621,1.125285
"2021-05-19",1.016961,1.119641
"2021-05-26",1.021328,1.154854
"2021-06-02",1.023339,1.168744
"2021-06-09",1.027698,1.186940
"2021-06-16",1.030163,1.200633
"2021-06-23",1.029775,1.197372
"2021-06-30",1.032336,1.208096
"2021-07-07",1.038644,1.237716
"2021-07-14",1.039086,1.247267
"2021-07-21",1.039652,1.251026
"2021-07-28",1.044739,1.266484
"2021-08-04",1.051597,1.296235
"2021-08-11",1.048811,1.288132
"2021-08-18",1.053465,1.314580
"2021-08-25",1.050109,1.305111
"2021-09-01",1.050997,1.316706
"2021-09-08",1.051772,1.310056
"2021-09-15",1.052816,1.309475
"2021-09-22",1.050058,1.308528
"2021-09-29",1.038436,1.250767
"2021-10-06",1.042109,1.262693
"2021-10-13",1.047216,1.300538
"2021-10-20",1.050852,1.325475
"2021-10-27",1.053986,1.338846
"2021-11-03",1.051738,1.353018
"2021-11-10",1.058872,1.364546
"2021-11-17",1.059432,1.382995
"2021-11-24",1.051510,1.343235
"2021-12-01",1.052768,1.357558
"2021-12-08",1.061848,1.388065
"2021-12-15",1.061137,1.373003
"2021-12-22",1.063258,1.385912
"2021-12-29",1.067747,1.423592
"2022-01-05",1.070867,1.411552
"2022-01-12",1.062248,1.358010
"2022-01-19",1.056195,1.319718
"2022-01-26",1.049474,1.283713
